1;Z ilu okrążeń składa się bieg żużlowy;1;4;5;b
2;Z ilu biegów składa się mecz żużlowy;12;20;15;c
3;W Którym mieście w Polsce powsaŁ pierwszy stadion żużlowy;Toruń;Rybnik;Mysłowice;c
4;Ilu zawodników startuje w jednym biegu;4;2;6;a
5;Co jest symbolem tytułu mistrza Polski na żużlu;Złoty plastron;Czapka Kadyrowa;Kask z więcem laurowym;b
6;Kto został pierwszym IMP bez podziału na klasy;Alfred Smoczyk;Eugieniusz Zenderowski;Jan Paluch;a
7;Kto pierwszy zdobył czapkę Kadyrowa;Andrzej Wyględa;Henryk Żyto;Antoni Woryna;b
8;Kto został pierwszym IMP bez podziału na klasy;Alfred Smoczyk;Eugeniusz Zenderowski;Jan Palucha;a
9;Kto został pierwszym IMŚ;Ronnie Moore;Lionel van PraagJack Miline;Jack Miline;b
10;Która drużyna zdobyła pierwsze Mistrzostwo Poski;LKM Leszno;PKM Warszawa;Górnik Rybnik;b
11;Który kraj zdobył pierwsze DMŚ?;Anglia;Szwecja;Polska;b
12;W Którym rku Poska po raz pierwszy zdobyła tytuł DMŚ;1961;1963;1972;a
13;Ile tytułow DMS zdobyła Polska do roku 2020;12;13;15;b
14;Który klub zdobył najwięcej tytułów DMP;Apator Toruń;Row Rybnik;Unia Leszno;c
15;W Którym mieście jest najdłuższy tor żużlowy w Polsce;Tarnów;Bydgoszcz;Krosno;c
16;Ivan Mauger to legenda światowego żużla. Jaki kraj reprezentował?;Australia;Nowa Zelandia;Anglia;b
17;Który z Polaków zotał pierwszy IMŚ;Jerzy Szczakiel;Zenon Plech;Tomasz Gollob;a
18;Ile tytułów IMŚ juniorów zdbyli Polacy;12;16;14;c
19;Któryzawdnik zdobył najwięcej medali IMŚ;Ivan Mauger;Tony Rickardsson;Hans Nielsen;c
20;Jaki polski klub reprezentował Tony Rickardsson w 1994r.zdobywając swój pierwszy tutuł IMŚ;Polonia Bydgoszcz;Apator Toruń;Unia Tarnów;c
21;W Którym mieście w Polsce znajduje się Motoarena;Toruń;Wrocław;Bydgoszcz;a
22;Kto zdobył więcej tytułów IMŚ?;Ole Olsen;Tomasz Gollob;Jarosław Hampel;a
23;Kto był najstarszym IMŚ?;Tomasz Gollob;Tony Rickardsson;Greg Hancock;c
24;Ile drużyn wystepowało w seoznie 2020 w ekstralidze?;6;8;10;b
25;Kto zdobył mistrzostwo Polski w żużlu w 2020;Unia Leszno;Stal Gorzów;Sparta Wrocław;a
26;Kto zdobył tytuł IMP w 2020?;Maciej Janowski;Bartosz Zmarzlik;Szymon Woźniak;a
27;Który z wymienionych zawodników zdobył więcej tytułów IMP?;Janusz Kołodziej;Jacek Gollob;Bartosz Zmarzlik;a
28;Które najwyższe miejsce zajął Krzysztof Cegielski podczas zawodów IMP?;1;2;3;b
29;Ile tytułów IMP zdobył Tomasz Gollob?;10;6;8;c
30;Ile tytułów DMP posiada Stal Rzeszów (do 2020);2;4;nie posiada;a
31;ile tytułów DMP posiada Unia Tarnów (do 2020);2;4;3;c
32;Ile tytułów DMP posiada Unia Leszno (do 2020);16;8;19;c
33;Który zawodnik miał najlepszą średnią biegową w sezonie 2020 w Ekstralidze?;Emil Sajfudinow;Bartosz Zmarzlik;Leon Madsen;a
34;Jakie barwy ma klub z Leszna?;biało-zielone;biało-niebieskie;czarno-białe;b
35;Który zawodnik wystąpił najwięcej razy w finałach Grand Prix Polski (podczas zawodów IMŚ)?;Greg Hancock;Tomasz Gollob;Nicki Pedersen;b
36;Kto najwięcej razy wygrał Gand Prix Polski;Tomasz Gollob;Tai Woffinden;Bartosz Zmarzlik;a
37;Kto został IMPJ w 2020?;Jakub Miśkowiak;Dominik Kubera;Wiktor Lampart;b
38;Ile tytułów IMPJ posiada Tomasz Gollob?;0;3;5;b
39;Które miasto byo gospodarzem IMP w 2020?;Tarnów;Leszno;Zielona G?ra;b
40;Które z wymienionych miast nigdy nie było gospodarzem IMP?;Tarnów;Kraków;Opole;c
41;Które najwyższe miejsce zajął Marek Cieślak podczas zawodów IMP?;1;2;3;b
42;Które najwyższe miejsce zajął Jerzy Szczakiel podczas zawodów IMP?;1;2;3;b
43;Który klub zdobył Mistrzostwo Polski par klubowych?;Unia Leszno;Sparta Wrocław;Apator Toruń;a
44;Który zawodnik wygrał turniej o złoty kask w 2020?;Janusz Kołodziej;Bartosz Zmarzlik;Krzysztof Kasprzak;b
45;Które miasto było gospodarzem turnieju o złoty kask w 2020?;Tarnów;Rzeszów;Bydgoszcz;c
46;Który kraj wygrał Speedway of Nations( inne nazwy DMŚ lub DPŚ) w 2020 ?;Polska;Dania;Rosja;c
47;Z jakiego miasta pochodzi Krzysztof Kasprzak?;Tarnów;Gorzów Wielkopolski;Leszno;c
48;Z jakiego miasta pochodzi Tomasz Gollob?;Bydgoszcz;Tarnów;Toruń;a
49;Jak nazywa się starszy brat Tomasza Golloba?;Radosław Gollob;Marian Gollob;Jacek Gollob;c
50;Kto został IMŚJ w 2020?;Dominik Kubera;Maksym Drabik;Jaimon Lidsey;c
51;Który żużlowiec posiada więcej tytułów IMŚJ?;Darcy Ward;Krzysztof Kasprzak;Patryk Dudek;a
52;Według FIM waga motocykla żużlowego nie może być mniejsza niż?;77 kg;50 kg;88 kg;a
53;Według FIM układ wydechowy musi spełniać limit głośności do; 98dB; 65 dB;105dB;a
54;Co oznacza skrót KSM:;Kalkulowana średnica motoru; Kalkulowana średnia meczowa; Klubowa średnia meczowa;b
55;Co oznacza skrót PZM:;Polscy Zawodnicy Motorowi; Polski Związek Motorowy; Poznański Związek Motorowy;b
56;Jak nazywał się jedyny Polski motor żużlowy;WSK FIS; WSK Jawa; Jawa;a
57;Motocykl firmy Jawa pochodzi z którego kraju:;Czechy;Włochy;Polska;a
58;Który z poniższych Węgierskich klubów nie posiada lub nie posiadał sekcji żużlowej;Speedawy Debreczyn;Speedway Miszkolc;Ujpest Fc;c
59;Które z poniższych miast nigdy nie organizowało zawodów GrandPrix;Vojens;Bydgoszcz;Rzym;c
60;Ostatnie mistrzostwo świata Jason Crump zdobył w:;2012;2009;2000;b
61;Który z wymienionych zawodników nigdy nie był IMŚ;Emil Sajfutdinow;Mark Loram;Tomasz Gollob;a
62;Który z wymienionych zawodników był IMŚ;Jason Doyle;Andreas Jonsson;Sam Ermolenko;a
63;Który z wymienionych zawodników był IMŚ;Nicki Pedersen;Krzysztof Kasprzak;Jimmy Nilsen;a